country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_count,new_ICU_hospital_occupancy_count
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",28.3793340135877,
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",81.9545906965389,14.9298578377059
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,,2.79017809086715,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",,0.301927809060854
